-275	34.7714		
-250	34.7675		
-225	34.8258		
-200	34.7825		
-175	34.7916		
-150	34.7808		
-125	34.7624		
-100	34.749		
-95	34.7391		
-90	34.7293		
-85	34.7206		
-80	34.7077		
-75	34.697		
-70	34.6808		
-65	34.6591		
-60	34.6475		
-55	34.6419		
-50	34.6333		
-45	34.6464		
-40	34.6539		
-35	34.659		
-30	34.6588		
-25	34.6646		
-20	34.6574		
-15	34.6499		
-10	34.6486		
-5	34.6489		
0	34.6418		
2006-02-01	10:00:00	63	1
-1800	34.7099		
-1750	34.7023		
-1700	34.6961		
-1650	34.69		
-1600	34.6767		
-1550	34.6703		
-1500	34.6621		
-1450	34.6528		
-1400	34.645		
-1350	34.6384		
-1300	34.627		
-1250	34.6234		
-1200	34.6179		
-1150	34.6092		
-1100	34.6073		
-1050	34.6061		
-1000	34.5999		
-950	34.5984		
-900	34.5996		
-850	34.5972		
-800	34.6014		
-750	34.6095		
-700	34.6041		
-650	34.6063		
-600	34.5911		
-550	34.6157		
-500	34.6461		
-475	34.6658		
-450	34.669		
-425	34.6794		
-400	34.6624		
-375	34.6811		
-350	34.6873		
-325	34.7181		
-300	34.7372		
-275	34.7587		
-250	34.753		
-225	34.7935		
-200	34.7321		
-175	34.6988		
-150	34.6846		
-125	34.666		
-100	34.6946		
-95	34.6854		
-90	34.6598		
-85	34.65		
-80	34.6376		
-75	34.6321		
-70	34.6219		
-65	34.6103		
-60	34.6322		
-55	34.6231		
-50	34.6388		
-45	34.6529		
-40	34.6621		
-35	34.6919		
-30	34.7246		
-25	34.7279		
-20	34.7093		
-15	34.7329		
-10	34.7303		
-5	34.7233		
0	34.7122		
2006-05-01	10:00:00	63	1
-1800	34.711		
-1750	34.7038		
-1700	34.6976		
-1650	34.6935		
-1600	34.6801		
-1550	34.6735		
-1500	34.666		
-1450	34.6525		
-1400	34.6447		
-1350	34.64		
-1300	34.6247		
-1250	34.6214		
-1200	34.6179		
-1150	34.6077		
-1100	34.6024		
-1050	34.6018		
-1000	34.5982		
-950	34.5946		
-900	34.5911		
-850	34.5948		
-800	34.6035		
-750	34.609		
-700	34.5988		
-650	34.5968		
-600	34.5891		
-550	34.6066		
-500	34.6337		
-475	34.6473		
-450	34.6593		
-425	34.6714		
-400	34.6609		
-375	34.6451		
-350	34.6457		
-325	34.637		
-300	34.6481		
-275	34.6312		
-250	34.6506		
-225	34.6836		
-200	34.7103		
-175	34.6892		
-150	34.6776		
-125	34.6068		
-100	34.5269		
-95	34.5133		
-90	34.4981		
-85	34.5035		
-80	34.5266		
-75	34.5413		
-70	34.5665		
-65	34.5803		
-60	34.5591		
-55	34.5528		
-50	34.5614		
-45	34.5665		
-40	34.56		
-35	34.5592		
-30	34.5682		
-25	34.5606		
-20	34.5454		
-15	34.5399		
-10	34.5365		
-5	34.5423		
0	34.5497		
2006-08-01	10:00:00	63	1
-1800	34.712		
-1750	34.7048		
-1700	34.6989		
-1650	34.6921		
-1600	34.679		
-1550	34.6716		
-1500	34.6634		
-1450	34.6545		
-1400	34.6502		
-1350	34.6445		
-1300	34.6334		
-1250	34.6285		
-1200	34.6192		
-1150	34.6112		
-1100	34.6082		
-1050	34.608		
-1000	34.6035		
-950	34.6018		
-900	34.6023		
-850	34.5955		
-800	34.6005		
-750	34.605		
-700	34.6041		
-650	34.6138		
-600	34.6054		
-550	34.6209		
-500	34.656		
-475	34.6687		
-450	34.6709		
-425	34.6959		
-400	34.7048		
-375	34.71		
-350	34.7192		
-325	34.7304		
-300	34.7979		
-275	34.7943		
-250	34.829		
-225	34.7973		
-200	34.7999		
-175	34.7417		
-150	34.7117		
-125	34.6373		
-100	34.6076		
-95	34.6027		
-90	34.5752		
-85	34.5614		
-80	34.564		
-75	34.5548		
-70	34.5429		
-65	34.5267		
-60	34.5048		
-55	34.4898		
-50	34.4812		
-45	34.4763		
-40	34.4705		
-35	34.4571		
-30	34.4459		
-25	34.4375		
-20	34.4317		
-15	34.4307		
-10	34.4294		
-5	34.4304		
0	34.4317		
2006-11-01	10:00:00	63	1
-1800	34.711		
-1750	34.704		
-1700	34.6988		
-1650	34.6942		
-1600	34.6802		
-1550	34.6738		
-1500	34.6653		
-1450	34.6544		
-1400	34.6502		
-1350	34.6424		
-1300	34.6321		
-1250	34.6269		
-1200	34.6189		
-1150	34.6096		
-1100	34.6055		
-1050	34.6045		
-1000	34.6019		
-950	34.6004		
-900	34.6001		
-850	34.5968		
-800	34.6003		
-750	34.6299		
-700	34.5991		
-650	34.6081		
-600	34.5986		
-550	34.6114		
-500	34.6389		
-475	34.6532		
-450	34.6561		
-425	34.6672		
-400	34.6688		
-375	34.6797		
-350	34.7183		
-325	34.7388		
-300	34.7509		
-275	34.7714		
-250	34.7675		
-225	34.8258		
-200	34.7825		
-175	34.7916		
-150	34.7808		
-125	34.7624		
-100	34.749		
-95	34.7391		
-90	34.7293		
-85	34.7206		
-80	34.7077		
-75	34.697		
-70	34.6808		
-65	34.6591		
-60	34.6475		
-55	34.6419		
-50	34.6333		
-45	34.6464		
-40	34.6539		
-35	34.659		
-30	34.6588		
-25	34.6646		
-20	34.6574		
-15	34.6499		
-10	34.6486		
-5	34.6489		
0	34.6418		
2007-02-01	10:00:00	63	1
-1800	34.7099		
-1750	34.7023		
-1700	34.6961		
-1650	34.69		
-1600	34.6767		
-1550	34.6703		
-1500	34.6621		
-1450	34.6528		
-1400	34.645		
-1350	34.6384		
-1300	34.627		
-1250	34.6234		
-1200	34.6179		
-1150	34.6092		
-1100	34.6073		
-1050	34.6061		
-1000	34.5999		
-950	34.5984		
-900	34.5996		
-850	34.5972		
-800	34.6014		
-750	34.6095		
-700	34.6041		
-650	34.6063		
-600	34.5911		
-550	34.6157		
-500	34.6461		
-475	34.6658		
-450	34.669		
-425	34.6794		
-400	34.6624		
-375	34.6811		
-350	34.6873		
-325	34.7181		
-300	34.7372		
-275	34.7587		
-250	34.753		
-225	34.7935		
-200	34.7321		
-175	34.6988		
-150	34.6846		
-125	34.666		
-100	34.6946		
-95	34.6854		
-90	34.6598		
-85	34.65		
-80	34.6376		
-75	34.6321		
-70	34.6219		
-65	34.6103		
-60	34.6322		
-55	34.6231		
-50	34.6388		
-45	34.6529		
-40	34.6621		
-35	34.6919		
-30	34.7246		
-25	34.7279		
-20	34.7093		
-15	34.7329		
-10	34.7303		
-5	34.7233		
0	34.7122		
2007-05-01	10:00:00	63	1
-1800	34.711		
-1750	34.7038		
-1700	34.6976		
-1650	34.6935		
-1600	34.6801		
-1550	34.6735		
-1500	34.666		
-1450	34.6525		
-1400	34.6447		
-1350	34.64		
-1300	34.6247		
-1250	34.6214		
-1200	34.6179		
-1150	34.6077		
-1100	34.6024		
-1050	34.6018		
-1000	34.5982		
-950	34.5946		
-900	34.5911		
-850	34.5948		
-800	34.6035		
-750	34.609		
-700	34.5988		
-650	34.5968		
-600	34.5891		
-550	34.6066		
-500	34.6337		
-475	34.6473		
-450	34.6593		
-425	34.6714		
-400	34.6609		
-375	34.6451		
-350	34.6457		
-325	34.637		
-300	34.6481		
-275	34.6312		
-250	34.6506		
-225	34.6836		
-200	34.7103		
-175	34.6892		
-150	34.6776		
-125	34.6068		
-100	34.5269		
-95	34.5133		
-90	34.4981		
-85	34.5035		
-80	34.5266		
-75	34.5413		
-70	34.5665		
-65	34.5803		
-60	34.5591		
-55	34.5528		
-50	34.5614		
-45	34.5665		
-40	34.56		
-35	34.5592		
-30	34.5682		
-25	34.5606		
-20	34.5454		
-15	34.5399		
-10	34.5365		
-5	34.5423		
0	34.5497		
2007-08-01	10:00:00	63	1
-1800	34.712		
-1750	34.7048		
-1700	34.6989		
-1650	34.6921		
-1600	34.679		
-1550	34.6716		
-1500	34.6634		
-1450	34.6545		
-1400	34.6502		
-1350	34.6445		
-1300	34.6334		
-1250	34.6285		
-1200	34.6192		
-1150	34.6112		
-1100	34.6082		
-1050	34.608		
-1000	34.6035		
-950	34.6018		
-900	34.6023		
-850	34.5955		
-800	34.6005		
-750	34.605		
-700	34.6041		
-650	34.6138		
-600	34.6054		
-550	34.6209		
-500	34.656		
-475	34.6687		
-450	34.6709		
-425	34.6959		
-400	34.7048		
-375	34.71		
-350	34.7192		
-325	34.7304		
-300	34.7979		
-275	34.7943		
-250	34.829		
-225	34.7973		
-200	34.7999		
-175	34.7417		
-150	34.7117		
-125	34.6373		
-100	34.6076		
-95	34.6027		
-90	34.5752		
-85	34.5614		
-80	34.564		
-75	34.5548		
-70	34.5429		
-65	34.5267		
-60	34.5048		
-55	34.4898		
-50	34.4812		
-45	34.4763		
-40	34.4705		
-35	34.4571		
-30	34.4459		
-25	34.4375		
-20	34.4317		
-15	34.4307		
-10	34.4294		
-5	34.4304		
0	34.4317		
2007-11-01	10:00:00	63	1
-1800	34.711		
-1750	34.704		
-1700	34.6988		
-1650	34.6942		
-1600	34.6802		
-1550	34.6738		
-1500	34.6653		
-1450	34.6544		
-1400	34.6502		
-1350	34.6424		
-1300	34.6321		
-1250	34.6269		
-1200	34.6189		
-1150	34.6096		
-1100	34.6055		
-1050	34.6045		
-1000	34.6019		
-950	34.6004		
-900	34.6001		
-850	34.5968		
-800	34.6003		
-750	34.6299		
-700	34.5991		
-650	34.6081		
-600	34.5986		
-550	34.6114		
-500	34.6389		
-475	34.6532		
-450	34.6561		
-425	34.6672		
-400	34.6688		
-375	34.6797		
-350	34.7183		
-325	34.7388		
-300	34.7509		
-275	34.7714		
-250	34.7675		
-225	34.8258		
-200	34.7825		
-175	34.7916		
-150	34.7808		
-125	34.7624		
-100	34.749		
-95	34.7391		
-90	34.7293		
-85	34.7206		
-80	34.7077		
-75	34.697		
-70	34.6808		
-65	34.6591		
-60	34.6475		
-55	34.6419		
-50	34.6333		
-45	34.6464		
-40	34.6539		
-35	34.659		
-30	34.6588		
-25	34.6646		
-20	34.6574		
-15	34.6499		
-10	34.6486		
-5	34.6489		
0	34.6418		
2008-02-01	10:00:00	63	1
-1800	34.7099		
-1750	34.7023		
-1700	34.6961		
-1650	34.69		
-1600	34.6767		
-1550	34.6703		
-1500	34.6621		
-1450	34.6528		
-1400	34.645		
-1350	34.6384		
-1300	34.627		
-1250	34.6234		
-1200	34.6179		
-1150	34.6092		
-1100	34.6073		
-1050	34.6061		
-1000	34.5999		
-950	34.5984		
-900	34.5996		
-850	34.5972		
-800	34.6014		
-750	34.6095		
-700	34.6041		
-650	34.6063		
-600	34.5911		
-550	34.6157		
-500	34.6461		
-475	34.6658		
-450	34.669		
-425	34.6794		
-400	34.6624		
-375	34.6811		
-350	34.6873		
-325	34.7181		
-300	34.7372		
-275	34.7587		
-250	34.753		
-225	34.7935		
-200	34.7321		
-175	34.6988		
-150	34.6846		
-125	34.666		
-100	34.6946		
-95	34.6854		
-90	34.6598		
-85	34.65		
-80	34.6376		
-75	34.6321		
-70	34.6219		
-65	34.6103		
-60	34.6322		
-55	34.6231		
-50	34.6388		
-45	34.6529		
-40	34.6621		
-35	34.6919		
-30	34.7246		
-25	34.7279		
-20	34.7093		
-15	34.7329		
-10	34.7303		
-5	34.7233		
0	34.7122		
2008-05-01	10:00:00	63	1
-1800	34.711		
-1750	34.7038		
-1700	34.6976		
-1650	34.6935		
-1600	34.6801		
-1550	34.6735		
-1500	34.666		
-1450	34.6525		
-1400	34.6447		
-1350	34.64		
-1300	34.6247		
-1250	34.6214		
-1200	34.6179		
-1150	34.6077		
-1100	34.6024		
-1050	34.6018		
-1000	34.5982		
-950	34.5946		
-900	34.5911		
-850	34.5948		
-800	34.6035		
-750	34.609		
-700	34.5988		
-650	34.5968		
-600	34.5891		
-550	34.6066		
-500	34.6337		
-475	34.6473		
-450	34.6593		
-425	34.6714		
-400	34.6609		
-375	34.6451		
-350	34.6457		
-325	34.637		
-300	34.6481		
-275	34.6312		
-250	34.6506		
-225	34.6836		
-200	34.7103		
-175	34.6892		
-150	34.6776		
-125	34.6068		
-100	34.5269		
-95	34.5133		
-90	34.4981		
-85	34.5035		
-80	34.5266		
-75	34.5413		
-70	34.5665		
-65	34.5803		
-60	34.5591		
-55	34.5528		
-50	34.5614		
-45	34.5665		
-40	34.56		
-35	34.5592		
-30	34.5682		
-25	34.5606		
-20	34.5454		
-15	34.5399		
-10	34.5365		
-5	34.5423		
0	34.5497		
2008-08-01	10:00:00	63	1
-1800	34.712		
-1750	34.7048		
-1700	34.6989		
-1650	34.6921		
-1600	34.679		
-1550	34.6716		
-1500	34.6634		
-1450	34.6545		
-1400	34.6502		
-1350	34.6445		
-1300	34.6334		
-1250	34.6285		
-1200	34.6192		
-1150	34.6112		
-1100	34.6082		
-1050	34.608		
-1000	34.6035		
-950	34.6018		
-900	34.6023		
-850	34.5955		
-800	34.6005		
-750	34.605		
-700	34.6041		
-650	34.6138		
-600	34.6054		
-550	34.6209		
-500	34.656		
-475	34.6687		
-450	34.6709		
-425	34.6959		
-400	34.7048		
-375	34.71		
-350	34.7192		
-325	34.7304		
-300	34.7979		
-275	34.7943		
-250	34.829		
-225	34.7973		
-200	34.7999		
-175	34.7417		
-150	34.7117		
-125	34.6373		
-100	34.6076		
-95	34.6027		
-90	34.5752		
-85	34.5614		
-80	34.564		
-75	34.5548		
-70	34.5429		
-65	34.5267		
-60	34.5048		
-55	34.4898		
-50	34.4812		
-45	34.4763		
-40	34.4705		
-35	34.4571		
-30	34.4459		
-25	34.4375		
-20	34.4317		
-15	34.4307		
-10	34.4294		
-5	34.4304		
0	34.4317		
2008-11-01	10:00:00	63	1
-1800	34.711		
-1750	34.704		
-1700	34.6988		
-1650	34.6942		
-1600	34.6802		
-1550	34.6738		
-1500	34.6653		
-1450	34.6544		
-1400	34.6502		
-1350	34.6424		
-1300	34.6321		
-1250	34.6269		
-1200	34.6189		
-1150	34.6096		
-1100	34.6055		
-1050	34.6045		
-1000	34.6019		
-950	34.6004		
-900	34.6001		
-850	34.5968		
-800	34.6003		
-750	34.6299		
-700	34.5991		
-650	34.6081		
-600	34.5986		
-550	34.6114		
-500	34.6389		
-475	34.6532		
-450	34.6561		
-425	34.6672		
-400	34.6688		
-375	34.6797		
-350	34.7183		
-325	34.7388		
-300	34.7509		
-275	34.7714		
-250	34.7675		
-225	34.8258		
-200	34.7825		
-175	34.7916		
-150	34.7808		
-125	34.7624		
-100	34.749		
-95	34.7391		
-90	34.7293		
-85	34.7206		
-80	34.7077		
-75	34.697		
-70	34.6808		
-65	34.6591		
-60	34.6475		
-55	34.6419		
-50	34.6333		
-45	34.6464		
-40	34.6539		
-35	34.659		
-30	34.6588		
-25	34.6646		
-20	34.6574		
-15	34.6499		
-10	34.6486		
-5	34.6489		
0	34.6418		
2009-02-01	10:00:00	63	1
-1800	34.7099		
-1750	34.7023		
-1700	34.6961		
-1650	34.69		
-1600	34.6767		
-1550	34.6703		
-1500	34.6621		
-1450	34.6528		
-1400	34.645		
-1350	34.6384		
-1300	34.627		
-1250	34.6234		
-1200	34.6179		
-1150	34.6092		
-1100	34.6073		
-1050	34.6061		
-1000	34.5999		
-950	34.5984		
-900	34.5996		
-850	34.5972		
-800	34.6014		
-750	34.6095		
-700	34.6041		
-650	34.6063		
-600	34.5911		
-550	34.6157		
-500	34.6461		
-475	34.6658		
-450	34.669		
-425	34.6794		
-400	34.6624		
-375	34.6811		
-350	34.6873		
-325	34.7181		
-300	34.7372		
-275	34.7587		
-250	34.753		
-225	34.7935		
-200	34.7321		
-175	34.6988		
-150	34.6846		
-125	34.666		
-100	34.6946		
-95	34.6854		
-90	34.6598		
-85	34.65		
-80	34.6376		
-75	34.6321		
-70	34.6219		
-65	34.6103		
-60	34.6322		
-55	34.6231		
-50	34.6388		
-45	34.6529		
-40	34.6621		
-35	34.6919		
-30	34.7246		
-25	34.7279		
-20	34.7093		
-15	34.7329		
-10	34.7303		
-5	34.7233		
0	34.7122		
2009-05-01	10:00:00	63	1
-1800	34.711		
-1750	34.7038		
-1700	34.6976		
-1650	34.6935		
-1600	34.6801		
-1550	34.6735		
-1500	34.666		
-1450	34.6525		
-1400	34.6447		
-1350	34.64		
-1300	34.6247		
-1250	34.6214		
-1200	34.6179		
-1150	34.6077		
-1100	34.6024		
-1050	34.6018		
-1000	34.5982		
-950	34.5946		
-900	34.5911		
-850	34.5948		
-800	34.6035		
-750	34.609		
-700	34.5988		
-650	34.5968		
-600	34.5891		
-550	34.6066		
-500	34.6337		
-475	34.6473		
-450	34.6593		
-425	34.6714		
-400	34.6609		
-375	34.6451		
-350	34.6457		
-325	34.637		
-300	34.6481		
-275	34.6312		
-250	34.6506		
-225	34.6836		
-200	34.7103		
-175	34.6892		
-150	34.6776		
-125	34.6068		
-100	34.5269		
-95	34.5133		
-90	34.4981		
-85	34.5035		
-80	34.5266		
-75	34.5413		
-70	34.5665		
-65	34.5803		
-60	34.5591		
-55	34.5528		
-50	34.5614		
-45	34.5665		
-40	34.56		
-35	34.5592		
-30	34.5682		
-25	34.5606		
-20	34.5454		
-15	34.5399		
-10	34.5365		
-5	34.5423		
0	34.5497		
2009-08-01	10:00:00	63	1
-1800	34.712		
-1750	34.7048		
-1700	34.6989		
-1650	34.6921		
-1600	34.679		
-1550	34.6716		
-1500	34.6634		
-1450	34.6545		
-1400	34.6502		
-1350	34.6445		
-1300	34.6334		
-1250	34.6285		
-1200	34.6192		
-1150	34.6112		
-1100	34.6082		
-1050	34.608		
-1000	34.6035		
-950	34.6018		
-900	34.6023		
-850	34.5955		
-800	34.6005		
-750	34.605		
-700	34.6041		
-650	34.6138		
-600	34.6054		
-550	34.6209		
-500	34.656		
-475	34.6687		
-450	34.6709		
-425	34.6959		
-400	34.7048		
-375	34.71		
-350	34.7192		
-325	34.7304		
-300	34.7979		
-275	34.7943		
-250	34.829		
-225	34.7973		
-200	34.7999		
-175	34.7417		
-150	34.7117		
-125	34.6373		
-100	34.6076		
-95	34.6027		
-90	34.5752		
-85	34.5614		
-80	34.564		
-75	34.5548		
-70	34.5429		
-65	34.5267		
-60	34.5048		
-55	34.4898		
-50	34.4812		
-45	34.4763		
-40	34.4705		
-35	34.4571		
-30	34.4459		
-25	34.4375		
-20	34.4317		
-15	34.4307		
-10	34.4294		
-5	34.4304		
0	34.4317		
2009-11-01	10:00:00	63	1
-1800	34.711		
-1750	34.704		
-1700	34.6988		
-1650	34.6942		
-1600	34.6802		
-1550	34.6738		
-1500	34.6653		
-1450	34.6544		
-1400	34.6502		
-1350	34.6424		
-1300	34.6321		
-1250	34.6269		
-1200	34.6189		
-1150	34.6096		
-1100	34.6055		
-1050	34.6045		
-1000	34.6019		
-950	34.6004		
-900	34.6001		
-850	34.5968		
-800	34.6003		
-750	34.6299		
-700	34.5991		
-650	34.6081		
-600	34.5986		
-550	34.6114		
-500	34.6389		
-475	34.6532		
-450	34.6561		
-425	34.6672		
-400	34.6688		
-375	34.6797		
-350	34.7183		
-325	34.7388		
-300	34.7509		
-275	34.7714		
-250	34.7675		
-225	34.8258		
-200	34.7825		
-175	34.7916		
-150	34.7808		
-125	34.7624		
-100	34.749		
-95	34.7391		
-90	34.7293		
-85	34.7206		
-80	34.7077		
-75	34.697		
-70	34.6808		
-65	34.6591		
-60	34.6475		
-55	34.6419		
-50	34.6333		
-45	34.6464		
-40	34.6539		
-35	34.659		
-30	34.6588		
-25	34.6646		
-20	34.6574		
-15	34.6499		
-10	34.6486		
-5	34.6489		
0	34.6418		
2010-02-01	10:00:00	63	1
-1800	34.7099		
-1750	34.7023		
-1700	34.6961		
-1650	34.69		
-1600	34.6767		
-1550	34.6703		
-1500	34.6621		
-1450	34.6528		
-1400	34.645		
-1350	34.6384		
-1300	34.627		
-1250	34.6234		
-1200	34.6179		
-1150	34.6092		
-1100	34.6073		
-1050	34.6061		
-1000	34.5999		
-950	34.5984		
-900	34.5996		
-850	34.5972		
-800	34.6014		
-750	34.6095		
-700	34.6041		
-650	34.6063		
-600	34.5911		
-550	34.6157		
-500	34.6461		
-475	34.6658		
-450	34.669		
-425	34.6794		
-400	34.6624		
-375	34.6811		
-350	34.6873		
-325	34.7181		
-300	34.7372		
-275	34.7587		
-250	34.753		
-225	34.7935		
-200	34.7321		
-175	34.6988		
-150	34.6846		
-125	34.666		
-100	34.6946		
-95	34.6854		
-90	34.6598		
-85	34.65		
-80	34.6376		
-75	34.6321		
-70	34.6219		
-65	34.6103		
-60	34.6322		
-55	34.6231		
-50	34.6388		
-45	34.6529		
-40	34.6621		
-35	34.6919		
-30	34.7246		
-25	34.7279		
-20	34.7093		
-15	34.7329		
-10	34.7303		
-5	34.7233		
0	34.7122		
2010-05-01	10:00:00	63	1
-1800	34.711		
-1750	34.7038		
-1700	34.6976		
-1650	34.6935		
-1600	34.6801		
-1550	34.6735		
-1500	34.666		
-1450	34.6525		
-1400	34.6447		
-1350	34.64		
-1300	34.6247		
-1250	34.6214		
-1200	34.6179		
-1150	34.6077		
-1100	34.6024		
-1050	34.6018		
-1000	34.5982		
-950	34.5946		
-900	34.5911		
-850	34.5948		
-800	34.6035		
-750	34.609		
-700	34.5988		
-650	34.5968		
-600	34.5891		
-550	34.6066		
-500	34.6337		
-475	34.6473		
-450	34.6593		
-425	34.6714		
-400	34.6609		
-375	34.6451		
-350	34.6457		
-325	34.637		
-300	34.6481		
-275	34.6312		
-250	34.6506		
-225	34.6836		
-200	34.7103		
-175	34.6892		
-150	34.6776		
-125	34.6068		
-100	34.5269		
-95	34.5133		
-90	34.4981		
-85	34.5035		
-80	34.5266		
-75	34.5413		
-70	34.5665		
-65	34.5803		
-60	34.5591		
-55	34.5528		
-50	34.5614		
-45	34.5665		
-40	34.56		
-35	34.5592		
-30	34.5682		
-25	34.5606		
-20	34.5454		
-15	34.5399		
-10	34.5365		
-5	34.5423		
0	34.5497		
2010-08-01	10:00:00	63	1
-1800	34.712		
-1750	34.7048		
-1700	34.6989		
-1650	34.6921		
-1600	34.679		
-1550	34.6716		
-1500	34.6634		
-1450	34.6545		
-1400	34.6502		
-1350	34.6445		
-1300	34.6334		
-1250	34.6285		
-1200	34.6192		
-1150	34.6112		
-1100	34.6082		
-1050	34.608		
-1000	34.6035		
-950	34.6018		
-900	34.6023		
-850	34.5955		
-800	34.6005		
-750	34.605		
-700	34.6041		
-650	34.6138		
-600	34.6054		
-550	34.6209		
-500	34.656		
-475	34.6687		
-450	34.6709		
-425	34.6959		
-400	34.7048		
-375	34.71		
-350	34.7192		
-325	34.7304		
-300	34.7979		
-275	34.7943		
-250	34.829		
-225	34.7973		
-200	34.7999		
-175	34.7417		
-150	34.7117		
-125	34.6373		
-100	34.6076		
-95	34.6027		
-90	34.5752		
-85	34.5614		
-80	34.564		
-75	34.5548		
-70	34.5429		
-65	34.5267		
-60	34.5048		
-55	34.4898		
-50	34.4812		
-45	34.4763		
-40	34.4705		
-35	34.4571		
-30	34.4459		
-25	34.4375		
-20	34.4317		
-15	34.4307		
-10	34.4294		
-5	34.4304		
0	34.4317		
2010-11-01	10:00:00	63	1
-1800	34.711		
-1750	34.704		
-1700	34.6988		
-1650	34.6942		
-1600	34.6802		
-1550	34.6738		
-1500	34.6653		
-1450	34.6544		
-1400	34.6502		
-1350	34.6424		
-1300	34.6321		
-1250	34.6269		
-1200	34.6189		
-1150	34.6096		
-1100	34.6055		
-1050	34.6045		
-1000	34.6019		
-950	34.6004		
-900	34.6001		
-850	34.5968		
-800	34.6003		
-750	34.6299		
-700	34.5991		
-650	34.6081		
-600	34.5986		
-550	34.6114		
-500	34.6389		
-475	34.6532		
-450	34.6561		
-425	34.6672		
-400	34.6688		
-375	34.6797		
-350	34.7183		
-325	34.7388		
-300	34.7509		
-275	34.7714		
-250	34.7675		
-225	34.8258		
-200	34.7825		
-175	34.7916		
-150	34.7808		
-125	34.7624		
-100	34.749		
-95	34.7391		
-90	34.7293		
-85	34.7206		
-80	34.7077		
-75	34.697		
-70	34.6808		
-65	34.6591		
-60	34.6475		
-55	34.6419		
-50	34.6333		
-45	34.6464		
-40	34.6539		
-35	34.659		
-30	34.6588		
-25	34.6646		
-20	34.6574		
-15	34.6499		
-10	34.6486		
-5	34.6489		
0	34.6418		

