-275	12.6214		
-250	13.652		
-225	15.0216		
-200	16.7496		
-175	18.403		
-150	20.2527		
-125	22.0344		
-100	23.6799		
-95	23.9676		
-90	24.2854		
-85	24.5609		
-80	24.8299		
-75	25.0938		
-70	25.3423		
-65	25.6062		
-60	25.8593		
-55	26.1218		
-50	26.3987		
-45	26.6836		
-40	26.9902		
-35	27.3224		
-30	27.6012		
-25	27.8418		
-20	28.0233		
-15	28.183		
-10	28.2791		
-5	28.3288		
0	28.3551		
2006-02-01	10:00:00	63	1
-1800	2.791		
-1750	2.8823		
-1700	2.9966		
-1650	3.0833		
-1600	3.1996		
-1550	3.3228		
-1500	3.441		
-1450	3.5842		
-1400	3.7724		
-1350	3.884		
-1300	4.0534		
-1250	4.1867		
-1200	4.3105		
-1150	4.4641		
-1100	4.6298		
-1050	4.8015		
-1000	4.8888		
-950	5.4334		
-900	5.5764		
-850	5.7547		
-800	6.083		
-750	6.294		
-700	6.5404		
-650	6.8242		
-600	7.2008		
-550	7.7189		
-500	8.0135		
-475	8.3673		
-450	8.8647		
-425	9.1599		
-400	9.4653		
-375	9.7732		
-350	10.1812		
-325	10.8334		
-300	11.5665		
-275	12.5221		
-250	13.7998		
-225	14.9928		
-200	16.2185		
-175	18.1703		
-150	20.1427		
-125	21.8562		
-100	23.4516		
-95	23.7933		
-90	24.1284		
-85	24.4658		
-80	24.8391		
-75	25.2153		
-70	25.6497		
-65	26.1438		
-60	26.5171		
-55	26.9831		
-50	27.4262		
-45	27.7715		
-40	28.108		
-35	28.4584		
-30	28.6192		
-25	28.8076		
-20	28.9506		
-15	29.0636		
-10	29.142		
-5	29.1641		
0	29.2022		
2006-05-01	10:00:00	63	1
-1800	2.7635		
-1750	2.8562		
-1700	2.9717		
-1650	3.0607		
-1600	3.2155		
-1550	3.3263		
-1500	3.447		
-1450	3.606		
-1400	3.7486		
-1350	3.8921		
-1300	4.0825		
-1250	4.2283		
-1200	4.363		
-1150	4.5154		
-1100	4.6296		
-1050	4.8439		
-1000	5.0328		
-950	5.5763		
-900	5.6152		
-850	5.6893		
-800	5.9822		
-750	6.266		
-700	6.425		
-650	6.8395		
-600	7.1936		
-550	7.6442		
-500	8.3298		
-475	8.5915		
-450	8.9887		
-425	9.3843		
-400	9.7784		
-375	10.2266		
-350	10.8106		
-325	11.2612		
-300	12.0424		
-275	12.972		
-250	14.1404		
-225	15.5726		
-200	17.2865		
-175	18.9707		
-150	20.6806		
-125	22.5684		
-100	24.5021		
-95	24.8602		
-90	25.3108		
-85	25.7376		
-80	26.2621		
-75	26.661		
-70	27.0439		
-65	27.3508		
-60	27.5949		
-55	27.8245		
-50	27.9856		
-45	28.1491		
-40	28.245		
-35	28.3287		
-30	28.3898		
-25	28.4695		
-20	28.496		
-15	28.5253		
-10	28.5264		
-5	28.5398		
0	28.5554		
2006-08-01	10:00:00	63	1
-1800	2.7423		
-1750	2.825		
-1700	2.9311		
-1650	3.0274		
-1600	3.1384		
-1550	3.2729		
-1500	3.3902		
-1450	3.5237		
-1400	3.7033		
-1350	3.8094		
-1300	3.9681		
-1250	4.0976		
-1200	4.2339		
-1150	4.3855		
-1100	4.5314		
-1050	4.7074		
-1000	4.8576		
-950	5.3349		
-900	5.4446		
-850	5.6606		
-800	5.9438		
-750	6.1926		
-700	6.4352		
-650	6.7059		
-600	7.0916		
-550	7.4804		
-500	8.0988		
-475	8.4979		
-450	8.8396		
-425	9.2139		
-400	9.618		
-375	10.0183		
-350	10.5042		
-325	11.1372		
-300	11.8659		
-275	12.5882		
-250	13.9866		
-225	15.3309		
-200	16.9197		
-175	18.7957		
-150	20.7543		
-125	22.5658		
-100	24.4609		
-95	24.6759		
-90	24.886		
-85	25.1011		
-80	25.2056		
-75	25.3047		
-70	25.3901		
-65	25.4636		
-60	25.5089		
-55	25.5489		
-50	25.613		
-45	25.6561		
-40	25.6986		
-35	25.7356		
-30	25.7719		
-25	25.821		
-20	25.8448		
-15	25.868		
-10	25.8902		
-5	25.9032		
0	25.9147		
2006-11-01	10:00:00	63	1
-1800	2.7676		
-1750	2.8553		
-1700	2.9585		
-1650	3.0376		
-1600	3.1733		
-1550	3.2901		
-1500	3.4006		
-1450	3.5591		
-1400	3.7597		
-1350	3.8477		
-1300	4.0077		
-1250	4.1567		
-1200	4.2896		
-1150	4.4408		
-1100	4.5855		
-1050	4.7616		
-1000	4.9253		
-950	5.315		
-900	5.4341		
-850	5.6051		
-800	5.9248		
-750	6.1693		
-700	6.4202		
-650	6.9777		
-600	7.2146		
-550	7.5423		
-500	8.1085		
-475	8.4		
-450	8.7214		
-425	9.0717		
-400	9.3917		
-375	9.8052		
-350	10.3003		
-325	10.9427		
-300	11.7336		
-275	12.6214		
-250	13.652		
-225	15.0216		
-200	16.7496		
-175	18.403		
-150	20.2527		
-125	22.0344		
-100	23.6799		
-95	23.9676		
-90	24.2854		
-85	24.5609		
-80	24.8299		
-75	25.0938		
-70	25.3423		
-65	25.6062		
-60	25.8593		
-55	26.1218		
-50	26.3987		
-45	26.6836		
-40	26.9902		
-35	27.3224		
-30	27.6012		
-25	27.8418		
-20	28.0233		
-15	28.183		
-10	28.2791		
-5	28.3288		
0	28.3551		
2007-02-01	10:00:00	63	1
-1800	2.791		
-1750	2.8823		
-1700	2.9966		
-1650	3.0833		
-1600	3.1996		
-1550	3.3228		
-1500	3.441		
-1450	3.5842		
-1400	3.7724		
-1350	3.884		
-1300	4.0534		
-1250	4.1867		
-1200	4.3105		
-1150	4.4641		
-1100	4.6298		
-1050	4.8015		
-1000	4.8888		
-950	5.4334		
-900	5.5764		
-850	5.7547		
-800	6.083		
-750	6.294		
-700	6.5404		
-650	6.8242		
-600	7.2008		
-550	7.7189		
-500	8.0135		
-475	8.3673		
-450	8.8647		
-425	9.1599		
-400	9.4653		
-375	9.7732		
-350	10.1812		
-325	10.8334		
-300	11.5665		
-275	12.5221		
-250	13.7998		
-225	14.9928		
-200	16.2185		
-175	18.1703		
-150	20.1427		
-125	21.8562		
-100	23.4516		
-95	23.7933		
-90	24.1284		
-85	24.4658		
-80	24.8391		
-75	25.2153		
-70	25.6497		
-65	26.1438		
-60	26.5171		
-55	26.9831		
-50	27.4262		
-45	27.7715		
-40	28.108		
-35	28.4584		
-30	28.6192		
-25	28.8076		
-20	28.9506		
-15	29.0636		
-10	29.142		
-5	29.1641		
0	29.2022		
2007-05-01	10:00:00	63	1
-1800	2.7635		
-1750	2.8562		
-1700	2.9717		
-1650	3.0607		
-1600	3.2155		
-1550	3.3263		
-1500	3.447		
-1450	3.606		
-1400	3.7486		
-1350	3.8921		
-1300	4.0825		
-1250	4.2283		
-1200	4.363		
-1150	4.5154		
-1100	4.6296		
-1050	4.8439		
-1000	5.0328		
-950	5.5763		
-900	5.6152		
-850	5.6893		
-800	5.9822		
-750	6.266		
-700	6.425		
-650	6.8395		
-600	7.1936		
-550	7.6442		
-500	8.3298		
-475	8.5915		
-450	8.9887		
-425	9.3843		
-400	9.7784		
-375	10.2266		
-350	10.8106		
-325	11.2612		
-300	12.0424		
-275	12.972		
-250	14.1404		
-225	15.5726		
-200	17.2865		
-175	18.9707		
-150	20.6806		
-125	22.5684		
-100	24.5021		
-95	24.8602		
-90	25.3108		
-85	25.7376		
-80	26.2621		
-75	26.661		
-70	27.0439		
-65	27.3508		
-60	27.5949		
-55	27.8245		
-50	27.9856		
-45	28.1491		
-40	28.245		
-35	28.3287		
-30	28.3898		
-25	28.4695		
-20	28.496		
-15	28.5253		
-10	28.5264		
-5	28.5398		
0	28.5554		
2007-08-01	10:00:00	63	1
-1800	2.7423		
-1750	2.825		
-1700	2.9311		
-1650	3.0274		
-1600	3.1384		
-1550	3.2729		
-1500	3.3902		
-1450	3.5237		
-1400	3.7033		
-1350	3.8094		
-1300	3.9681		
-1250	4.0976		
-1200	4.2339		
-1150	4.3855		
-1100	4.5314		
-1050	4.7074		
-1000	4.8576		
-950	5.3349		
-900	5.4446		
-850	5.6606		
-800	5.9438		
-750	6.1926		
-700	6.4352		
-650	6.7059		
-600	7.0916		
-550	7.4804		
-500	8.0988		
-475	8.4979		
-450	8.8396		
-425	9.2139		
-400	9.618		
-375	10.0183		
-350	10.5042		
-325	11.1372		
-300	11.8659		
-275	12.5882		
-250	13.9866		
-225	15.3309		
-200	16.9197		
-175	18.7957		
-150	20.7543		
-125	22.5658		
-100	24.4609		
-95	24.6759		
-90	24.886		
-85	25.1011		
-80	25.2056		
-75	25.3047		
-70	25.3901		
-65	25.4636		
-60	25.5089		
-55	25.5489		
-50	25.613		
-45	25.6561		
-40	25.6986		
-35	25.7356		
-30	25.7719		
-25	25.821		
-20	25.8448		
-15	25.868		
-10	25.8902		
-5	25.9032		
0	25.9147		
2007-11-01	10:00:00	63	1
-1800	2.7676		
-1750	2.8553		
-1700	2.9585		
-1650	3.0376		
-1600	3.1733		
-1550	3.2901		
-1500	3.4006		
-1450	3.5591		
-1400	3.7597		
-1350	3.8477		
-1300	4.0077		
-1250	4.1567		
-1200	4.2896		
-1150	4.4408		
-1100	4.5855		
-1050	4.7616		
-1000	4.9253		
-950	5.315		
-900	5.4341		
-850	5.6051		
-800	5.9248		
-750	6.1693		
-700	6.4202		
-650	6.9777		
-600	7.2146		
-550	7.5423		
-500	8.1085		
-475	8.4		
-450	8.7214		
-425	9.0717		
-400	9.3917		
-375	9.8052		
-350	10.3003		
-325	10.9427		
-300	11.7336		
-275	12.6214		
-250	13.652		
-225	15.0216		
-200	16.7496		
-175	18.403		
-150	20.2527		
-125	22.0344		
-100	23.6799		
-95	23.9676		
-90	24.2854		
-85	24.5609		
-80	24.8299		
-75	25.0938		
-70	25.3423		
-65	25.6062		
-60	25.8593		
-55	26.1218		
-50	26.3987		
-45	26.6836		
-40	26.9902		
-35	27.3224		
-30	27.6012		
-25	27.8418		
-20	28.0233		
-15	28.183		
-10	28.2791		
-5	28.3288		
0	28.3551		
2008-02-01	10:00:00	63	1
-1800	2.791		
-1750	2.8823		
-1700	2.9966		
-1650	3.0833		
-1600	3.1996		
-1550	3.3228		
-1500	3.441		
-1450	3.5842		
-1400	3.7724		
-1350	3.884		
-1300	4.0534		
-1250	4.1867		
-1200	4.3105		
-1150	4.4641		
-1100	4.6298		
-1050	4.8015		
-1000	4.8888		
-950	5.4334		
-900	5.5764		
-850	5.7547		
-800	6.083		
-750	6.294		
-700	6.5404		
-650	6.8242		
-600	7.2008		
-550	7.7189		
-500	8.0135		
-475	8.3673		
-450	8.8647		
-425	9.1599		
-400	9.4653		
-375	9.7732		
-350	10.1812		
-325	10.8334		
-300	11.5665		
-275	12.5221		
-250	13.7998		
-225	14.9928		
-200	16.2185		
-175	18.1703		
-150	20.1427		
-125	21.8562		
-100	23.4516		
-95	23.7933		
-90	24.1284		
-85	24.4658		
-80	24.8391		
-75	25.2153		
-70	25.6497		
-65	26.1438		
-60	26.5171		
-55	26.9831		
-50	27.4262		
-45	27.7715		
-40	28.108		
-35	28.4584		
-30	28.6192		
-25	28.8076		
-20	28.9506		
-15	29.0636		
-10	29.142		
-5	29.1641		
0	29.2022		
2008-05-01	10:00:00	63	1
-1800	2.7635		
-1750	2.8562		
-1700	2.9717		
-1650	3.0607		
-1600	3.2155		
-1550	3.3263		
-1500	3.447		
-1450	3.606		
-1400	3.7486		
-1350	3.8921		
-1300	4.0825		
-1250	4.2283		
-1200	4.363		
-1150	4.5154		
-1100	4.6296		
-1050	4.8439		
-1000	5.0328		
-950	5.5763		
-900	5.6152		
-850	5.6893		
-800	5.9822		
-750	6.266		
-700	6.425		
-650	6.8395		
-600	7.1936		
-550	7.6442		
-500	8.3298		
-475	8.5915		
-450	8.9887		
-425	9.3843		
-400	9.7784		
-375	10.2266		
-350	10.8106		
-325	11.2612		
-300	12.0424		
-275	12.972		
-250	14.1404		
-225	15.5726		
-200	17.2865		
-175	18.9707		
-150	20.6806		
-125	22.5684		
-100	24.5021		
-95	24.8602		
-90	25.3108		
-85	25.7376		
-80	26.2621		
-75	26.661		
-70	27.0439		
-65	27.3508		
-60	27.5949		
-55	27.8245		
-50	27.9856		
-45	28.1491		
-40	28.245		
-35	28.3287		
-30	28.3898		
-25	28.4695		
-20	28.496		
-15	28.5253		
-10	28.5264		
-5	28.5398		
0	28.5554		
2008-08-01	10:00:00	63	1
-1800	2.7423		
-1750	2.825		
-1700	2.9311		
-1650	3.0274		
-1600	3.1384		
-1550	3.2729		
-1500	3.3902		
-1450	3.5237		
-1400	3.7033		
-1350	3.8094		
-1300	3.9681		
-1250	4.0976		
-1200	4.2339		
-1150	4.3855		
-1100	4.5314		
-1050	4.7074		
-1000	4.8576		
-950	5.3349		
-900	5.4446		
-850	5.6606		
-800	5.9438		
-750	6.1926		
-700	6.4352		
-650	6.7059		
-600	7.0916		
-550	7.4804		
-500	8.0988		
-475	8.4979		
-450	8.8396		
-425	9.2139		
-400	9.618		
-375	10.0183		
-350	10.5042		
-325	11.1372		
-300	11.8659		
-275	12.5882		
-250	13.9866		
-225	15.3309		
-200	16.9197		
-175	18.7957		
-150	20.7543		
-125	22.5658		
-100	24.4609		
-95	24.6759		
-90	24.886		
-85	25.1011		
-80	25.2056		
-75	25.3047		
-70	25.3901		
-65	25.4636		
-60	25.5089		
-55	25.5489		
-50	25.613		
-45	25.6561		
-40	25.6986		
-35	25.7356		
-30	25.7719		
-25	25.821		
-20	25.8448		
-15	25.868		
-10	25.8902		
-5	25.9032		
0	25.9147		
2008-11-01	10:00:00	63	1
-1800	2.7676		
-1750	2.8553		
-1700	2.9585		
-1650	3.0376		
-1600	3.1733		
-1550	3.2901		
-1500	3.4006		
-1450	3.5591		
-1400	3.7597		
-1350	3.8477		
-1300	4.0077		
-1250	4.1567		
-1200	4.2896		
-1150	4.4408		
-1100	4.5855		
-1050	4.7616		
-1000	4.9253		
-950	5.315		
-900	5.4341		
-850	5.6051		
-800	5.9248		
-750	6.1693		
-700	6.4202		
-650	6.9777		
-600	7.2146		
-550	7.5423		
-500	8.1085		
-475	8.4		
-450	8.7214		
-425	9.0717		
-400	9.3917		
-375	9.8052		
-350	10.3003		
-325	10.9427		
-300	11.7336		
-275	12.6214		
-250	13.652		
-225	15.0216		
-200	16.7496		
-175	18.403		
-150	20.2527		
-125	22.0344		
-100	23.6799		
-95	23.9676		
-90	24.2854		
-85	24.5609		
-80	24.8299		
-75	25.0938		
-70	25.3423		
-65	25.6062		
-60	25.8593		
-55	26.1218		
-50	26.3987		
-45	26.6836		
-40	26.9902		
-35	27.3224		
-30	27.6012		
-25	27.8418		
-20	28.0233		
-15	28.183		
-10	28.2791		
-5	28.3288		
0	28.3551		
2009-02-01	10:00:00	63	1
-1800	2.791		
-1750	2.8823		
-1700	2.9966		
-1650	3.0833		
-1600	3.1996		
-1550	3.3228		
-1500	3.441		
-1450	3.5842		
-1400	3.7724		
-1350	3.884		
-1300	4.0534		
-1250	4.1867		
-1200	4.3105		
-1150	4.4641		
-1100	4.6298		
-1050	4.8015		
-1000	4.8888		
-950	5.4334		
-900	5.5764		
-850	5.7547		
-800	6.083		
-750	6.294		
-700	6.5404		
-650	6.8242		
-600	7.2008		
-550	7.7189		
-500	8.0135		
-475	8.3673		
-450	8.8647		
-425	9.1599		
-400	9.4653		
-375	9.7732		
-350	10.1812		
-325	10.8334		
-300	11.5665		
-275	12.5221		
-250	13.7998		
-225	14.9928		
-200	16.2185		
-175	18.1703		
-150	20.1427		
-125	21.8562		
-100	23.4516		
-95	23.7933		
-90	24.1284		
-85	24.4658		
-80	24.8391		
-75	25.2153		
-70	25.6497		
-65	26.1438		
-60	26.5171		
-55	26.9831		
-50	27.4262		
-45	27.7715		
-40	28.108		
-35	28.4584		
-30	28.6192		
-25	28.8076		
-20	28.9506		
-15	29.0636		
-10	29.142		
-5	29.1641		
0	29.2022		
2009-05-01	10:00:00	63	1
-1800	2.7635		
-1750	2.8562		
-1700	2.9717		
-1650	3.0607		
-1600	3.2155		
-1550	3.3263		
-1500	3.447		
-1450	3.606		
-1400	3.7486		
-1350	3.8921		
-1300	4.0825		
-1250	4.2283		
-1200	4.363		
-1150	4.5154		
-1100	4.6296		
-1050	4.8439		
-1000	5.0328		
-950	5.5763		
-900	5.6152		
-850	5.6893		
-800	5.9822		
-750	6.266		
-700	6.425		
-650	6.8395		
-600	7.1936		
-550	7.6442		
-500	8.3298		
-475	8.5915		
-450	8.9887		
-425	9.3843		
-400	9.7784		
-375	10.2266		
-350	10.8106		
-325	11.2612		
-300	12.0424		
-275	12.972		
-250	14.1404		
-225	15.5726		
-200	17.2865		
-175	18.9707		
-150	20.6806		
-125	22.5684		
-100	24.5021		
-95	24.8602		
-90	25.3108		
-85	25.7376		
-80	26.2621		
-75	26.661		
-70	27.0439		
-65	27.3508		
-60	27.5949		
-55	27.8245		
-50	27.9856		
-45	28.1491		
-40	28.245		
-35	28.3287		
-30	28.3898		
-25	28.4695		
-20	28.496		
-15	28.5253		
-10	28.5264		
-5	28.5398		
0	28.5554		
2009-08-01	10:00:00	63	1
-1800	2.7423		
-1750	2.825		
-1700	2.9311		
-1650	3.0274		
-1600	3.1384		
-1550	3.2729		
-1500	3.3902		
-1450	3.5237		
-1400	3.7033		
-1350	3.8094		
-1300	3.9681		
-1250	4.0976		
-1200	4.2339		
-1150	4.3855		
-1100	4.5314		
-1050	4.7074		
-1000	4.8576		
-950	5.3349		
-900	5.4446		
-850	5.6606		
-800	5.9438		
-750	6.1926		
-700	6.4352		
-650	6.7059		
-600	7.0916		
-550	7.4804		
-500	8.0988		
-475	8.4979		
-450	8.8396		
-425	9.2139		
-400	9.618		
-375	10.0183		
-350	10.5042		
-325	11.1372		
-300	11.8659		
-275	12.5882		
-250	13.9866		
-225	15.3309		
-200	16.9197		
-175	18.7957		
-150	20.7543		
-125	22.5658		
-100	24.4609		
-95	24.6759		
-90	24.886		
-85	25.1011		
-80	25.2056		
-75	25.3047		
-70	25.3901		
-65	25.4636		
-60	25.5089		
-55	25.5489		
-50	25.613		
-45	25.6561		
-40	25.6986		
-35	25.7356		
-30	25.7719		
-25	25.821		
-20	25.8448		
-15	25.868		
-10	25.8902		
-5	25.9032		
0	25.9147		
2009-11-01	10:00:00	63	1
-1800	2.7676		
-1750	2.8553		
-1700	2.9585		
-1650	3.0376		
-1600	3.1733		
-1550	3.2901		
-1500	3.4006		
-1450	3.5591		
-1400	3.7597		
-1350	3.8477		
-1300	4.0077		
-1250	4.1567		
-1200	4.2896		
-1150	4.4408		
-1100	4.5855		
-1050	4.7616		
-1000	4.9253		
-950	5.315		
-900	5.4341		
-850	5.6051		
-800	5.9248		
-750	6.1693		
-700	6.4202		
-650	6.9777		
-600	7.2146		
-550	7.5423		
-500	8.1085		
-475	8.4		
-450	8.7214		
-425	9.0717		
-400	9.3917		
-375	9.8052		
-350	10.3003		
-325	10.9427		
-300	11.7336		
-275	12.6214		
-250	13.652		
-225	15.0216		
-200	16.7496		
-175	18.403		
-150	20.2527		
-125	22.0344		
-100	23.6799		
-95	23.9676		
-90	24.2854		
-85	24.5609		
-80	24.8299		
-75	25.0938		
-70	25.3423		
-65	25.6062		
-60	25.8593		
-55	26.1218		
-50	26.3987		
-45	26.6836		
-40	26.9902		
-35	27.3224		
-30	27.6012		
-25	27.8418		
-20	28.0233		
-15	28.183		
-10	28.2791		
-5	28.3288		
0	28.3551		
2010-02-01	10:00:00	63	1
-1800	2.791		
-1750	2.8823		
-1700	2.9966		
-1650	3.0833		
-1600	3.1996		
-1550	3.3228		
-1500	3.441		
-1450	3.5842		
-1400	3.7724		
-1350	3.884		
-1300	4.0534		
-1250	4.1867		
-1200	4.3105		
-1150	4.4641		
-1100	4.6298		
-1050	4.8015		
-1000	4.8888		
-950	5.4334		
-900	5.5764		
-850	5.7547		
-800	6.083		
-750	6.294		
-700	6.5404		
-650	6.8242		
-600	7.2008		
-550	7.7189		
-500	8.0135		
-475	8.3673		
-450	8.8647		
-425	9.1599		
-400	9.4653		
-375	9.7732		
-350	10.1812		
-325	10.8334		
-300	11.5665		
-275	12.5221		
-250	13.7998		
-225	14.9928		
-200	16.2185		
-175	18.1703		
-150	20.1427		
-125	21.8562		
-100	23.4516		
-95	23.7933		
-90	24.1284		
-85	24.4658		
-80	24.8391		
-75	25.2153		
-70	25.6497		
-65	26.1438		
-60	26.5171		
-55	26.9831		
-50	27.4262		
-45	27.7715		
-40	28.108		
-35	28.4584		
-30	28.6192		
-25	28.8076		
-20	28.9506		
-15	29.0636		
-10	29.142		
-5	29.1641		
0	29.2022		
2010-05-01	10:00:00	63	1
-1800	2.7635		
-1750	2.8562		
-1700	2.9717		
-1650	3.0607		
-1600	3.2155		
-1550	3.3263		
-1500	3.447		
-1450	3.606		
-1400	3.7486		
-1350	3.8921		
-1300	4.0825		
-1250	4.2283		
-1200	4.363		
-1150	4.5154		
-1100	4.6296		
-1050	4.8439		
-1000	5.0328		
-950	5.5763		
-900	5.6152		
-850	5.6893		
-800	5.9822		
-750	6.266		
-700	6.425		
-650	6.8395		
-600	7.1936		
-550	7.6442		
-500	8.3298		
-475	8.5915		
-450	8.9887		
-425	9.3843		
-400	9.7784		
-375	10.2266		
-350	10.8106		
-325	11.2612		
-300	12.0424		
-275	12.972		
-250	14.1404		
-225	15.5726		
-200	17.2865		
-175	18.9707		
-150	20.6806		
-125	22.5684		
-100	24.5021		
-95	24.8602		
-90	25.3108		
-85	25.7376		
-80	26.2621		
-75	26.661		
-70	27.0439		
-65	27.3508		
-60	27.5949		
-55	27.8245		
-50	27.9856		
-45	28.1491		
-40	28.245		
-35	28.3287		
-30	28.3898		
-25	28.4695		
-20	28.496		
-15	28.5253		
-10	28.5264		
-5	28.5398		
0	28.5554		
2010-08-01	10:00:00	63	1
-1800	2.7423		
-1750	2.825		
-1700	2.9311		
-1650	3.0274		
-1600	3.1384		
-1550	3.2729		
-1500	3.3902		
-1450	3.5237		
-1400	3.7033		
-1350	3.8094		
-1300	3.9681		
-1250	4.0976		
-1200	4.2339		
-1150	4.3855		
-1100	4.5314		
-1050	4.7074		
-1000	4.8576		
-950	5.3349		
-900	5.4446		
-850	5.6606		
-800	5.9438		
-750	6.1926		
-700	6.4352		
-650	6.7059		
-600	7.0916		
-550	7.4804		
-500	8.0988		
-475	8.4979		
-450	8.8396		
-425	9.2139		
-400	9.618		
-375	10.0183		
-350	10.5042		
-325	11.1372		
-300	11.8659		
-275	12.5882		
-250	13.9866		
-225	15.3309		
-200	16.9197		
-175	18.7957		
-150	20.7543		
-125	22.5658		
-100	24.4609		
-95	24.6759		
-90	24.886		
-85	25.1011		
-80	25.2056		
-75	25.3047		
-70	25.3901		
-65	25.4636		
-60	25.5089		
-55	25.5489		
-50	25.613		
-45	25.6561		
-40	25.6986		
-35	25.7356		
-30	25.7719		
-25	25.821		
-20	25.8448		
-15	25.868		
-10	25.8902		
-5	25.9032		
0	25.9147		
2010-11-01	10:00:00	63	1
-1800	2.7676		
-1750	2.8553		
-1700	2.9585		
-1650	3.0376		
-1600	3.1733		
-1550	3.2901		
-1500	3.4006		
-1450	3.5591		
-1400	3.7597		
-1350	3.8477		
-1300	4.0077		
-1250	4.1567		
-1200	4.2896		
-1150	4.4408		
-1100	4.5855		
-1050	4.7616		
-1000	4.9253		
-950	5.315		
-900	5.4341		
-850	5.6051		
-800	5.9248		
-750	6.1693		
-700	6.4202		
-650	6.9777		
-600	7.2146		
-550	7.5423		
-500	8.1085		
-475	8.4		
-450	8.7214		
-425	9.0717		
-400	9.3917		
-375	9.8052		
-350	10.3003		
-325	10.9427		
-300	11.7336		
-275	12.6214		
-250	13.652		
-225	15.0216		
-200	16.7496		
-175	18.403		
-150	20.2527		
-125	22.0344		
-100	23.6799		
-95	23.9676		
-90	24.2854		
-85	24.5609		
-80	24.8299		
-75	25.0938		
-70	25.3423		
-65	25.6062		
-60	25.8593		
-55	26.1218		
-50	26.3987		
-45	26.6836		
-40	26.9902		
-35	27.3224		
-30	27.6012		
-25	27.8418		
-20	28.0233		
-15	28.183		
-10	28.2791		
-5	28.3288		
0	28.3551		

